,ID,Name,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Last Name_left,First Name_left,quiz_3,Last Name_right,First Name_right,quiz_2,Last Name_left,First Name_left,quiz_4,Last Name_right,First Name_right,quiz_5,quiz_1,Exam 1 Proportion,Exam 2 Proportion,Exam 3 Proportion,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
ara97741,6600559,"Adams, Amy Robert",amy.adams@univ.edu,1,Amy,Adams,49.0,80,53,80,55,80,78,100,46,70,59,90,49,50,58,70,39,60,54,60,87,100,74,100,76,100,Adams,Amy,12,Adams,Amy,11,Adams,Amy,8,Adams,Amy,10,9,0.87,0.74,0.76,0.7297297297297297,0.7413769841269842,0.7413769841269842,0.7246376811594203,0.7324318818436466,0.7324318818436466,0.7477803582038876,75.0,C
cxa22039,2685279,"Allen, Christina",christina.allen@univ.edu,1,Christina,Allen,63.0,80,78,80,76,80,68,100,53,70,83,90,44,50,69,70,39,60,43,60,60,100,70,100,67,100,Allen,Christina,14,Allen,Christina,12,Allen,Christina,14,Allen,Christina,8,10,0.6,0.7,0.67,0.8324324324324325,0.8304246031746032,0.8324324324324325,0.8405797101449275,0.8398573975044563,0.8405797101449275,0.7856468860164513,79.0,C
lxb98047,3792268,"Baldwin, Lucas",lucas.baldwin@univ.edu,1,Lucas,Baldwin,79.0,80,50,80,77,80,95,100,55,70,76,90,30,50,67,70,55,60,50,60,83,100,74,100,97,100,Baldwin,Lucas,9,Baldwin,Lucas,10,Baldwin,Lucas,12,Baldwin,Lucas,11,7,0.83,0.74,0.97,0.8567567567567568,0.8462301587301588,0.8567567567567568,0.7101449275362319,0.7212503183091419,0.7212503183091419,0.8200777981954454,83.0,B
wxb12345,1234567,"Barrera Jr., Woody",woody.barrera_jr@univ.edu,1,Woody,Barrera,55.0,80,62,80,73,80,83,100,68,70,87,90,36,50,43,70,45,60,46,60,86,100,62,100,90,100,Barrera,Woody,11,Barrera,Woody,10,Barrera,Woody,7,Barrera,Woody,10,4,0.86,0.62,0.9,0.8081081081081081,0.799404761904762,0.8081081081081081,0.6086956521739131,0.6021390374331551,0.6086956521739131,0.7458519388954172,75.0,C
jxb40799,1837857,"Bauer, John",john.bauer@univ.edu,1,John,Bauer,57.0,80,70,80,73,80,83,100,56,70,89,90,38,50,57,70,57,60,44,60,64,100,88,100,92,100,Bauer,John,13,Bauer,John,7,Bauer,John,9,Bauer,John,8,4,0.64,0.88,0.92,0.8432432432432433,0.8376507936507936,0.8432432432432433,0.5942028985507246,0.5809065444359562,0.5942028985507246,0.7735581668625147,78.0,C
djb29817,7482388,"Beck, David John",david.beck@univ.edu,1,David,Beck,62.0,80,79,80,48,80,61,100,43,70,59,90,42,50,51,70,55,60,39,60,91,100,74,100,65,100,Beck,David,7,Beck,David,7,Beck,David,12,Beck,David,7,4,0.91,0.74,0.65,0.7283783783783784,0.7377579365079365,0.7377579365079365,0.5362318840579711,0.5365087853323148,0.5365087853323148,0.6730558102028691,68.0,D
rjb91830,5704583,"Bennett, Richard Jamie",richard.bennett@univ.edu,1,Richard,Bennett,76.0,80,75,80,77,80,68,100,49,70,80,90,34,50,45,70,57,60,53,60,66,100,97,100,88,100,Bennett,Richard,9,Bennett,Richard,6,Bennett,Richard,8,Bennett,Richard,10,10,0.66,0.97,0.88,0.8297297297297297,0.8275079365079365,0.8297297297297297,0.6231884057971014,0.6486529157117393,0.6486529157117393,0.7884877666054138,79.0,C
cxd92501,3454432,"Dennis, Cameron",cameron.dennis@univ.edu,1,Cameron,Dennis,75.0,80,73,80,59,80,61,100,43,70,67,90,36,50,59,70,51,60,54,60,88,100,66,100,68,100,Dennis,Cameron,13,Dennis,Cameron,6,Dennis,Cameron,5,Dennis,Cameron,4,4,0.88,0.66,0.68,0.7810810810810811,0.7869087301587301,0.7869087301587301,0.463768115942029,0.4437636872930991,0.463768115942029,0.6658939268461008,67.0,D
eed42850,5824785,"Dudley, Emily Emily",emily.dudley@univ.edu,1,Emily,Dudley,53.0,80,80,80,62,80,93,100,70,70,62,90,40,50,62,70,37,60,37,60,96,100,73,100,76,100,Dudley,Emily,8,Dudley,Emily,9,Dudley,Emily,9,Dudley,Emily,9,5,0.96,0.73,0.76,0.8054054054054054,0.7975436507936509,0.8054054054054054,0.5797101449275363,0.5835981665393429,0.5835981665393429,0.7322416121239651,74.0,C
exd72538,5461012,"Duffy, Erin",erin.duffy@univ.edu,1,Erin,Duffy,66.0,80,54,80,50,80,65,100,56,70,65,90,35,50,46,70,46,60,59,60,85,100,92,100,88,100,Duffy,Erin,14,Duffy,Erin,12,Duffy,Erin,5,Duffy,Erin,10,9,0.85,0.92,0.88,0.7324324324324324,0.740436507936508,0.740436507936508,0.7246376811594203,0.7264374840845429,0.7264374840845429,0.780605848399966,79.0,C
rge65208,6409860,"Elliott, Richard Gwendolyn",richard.elliott@univ.edu,1,Richard,Elliott,49.0,80,64,80,76,80,80,100,49,70,65,90,41,50,55,70,37,60,42,60,66,100,64,100,74,100,Elliott,Richard,17,Elliott,Richard,13,Elliott,Richard,11,Elliott,Richard,12,6,0.66,0.64,0.74,0.754054054054054,0.7507103174603175,0.754054054054054,0.855072463768116,0.8395670995670995,0.855072463768116,0.7661433607520565,77.0,C
kxf45205,1866225,"Faulkner, Katelyn",katelyn.faulkner@univ.edu,1,Katelyn,Faulkner,65.0,80,65,80,55,80,90,100,69,70,65,90,34,50,69,70,44,60,42,60,68,100,60,100,61,100,Faulkner,Katelyn,17,Faulkner,Katelyn,12,Faulkner,Katelyn,14,Faulkner,Katelyn,6,6,0.68,0.6,0.61,0.8081081081081081,0.8019484126984127,0.8081081081081081,0.7971014492753623,0.7690909090909092,0.7971014492753623,0.7478736780258519,75.0,C
txf41578,3419285,"Foster, Tommy",tommy.foster@univ.edu,1,Tommy,Foster,49.0,80,63,80,51,80,83,100,64,70,86,90,32,50,56,70,51,60,38,60,78,100,88,100,65,100,Foster,Tommy,7,Foster,Tommy,9,Foster,Tommy,10,Foster,Tommy,9,9,0.78,0.88,0.65,0.7743243243243243,0.7660674603174602,0.7743243243243243,0.6376811594202898,0.6588464476699771,0.6588464476699771,0.7318836640307229,74.0,C
jag55224,8065342,"Garza, Jessica Allison",jessica.garza@univ.edu,1,Jessica,Garza,49.0,80,77,80,71,80,69,100,44,70,74,90,46,50,64,70,46,60,55,60,90,100,79,100,62,100,Garza,Jessica,16,Garza,Jessica,8,Garza,Jessica,11,Garza,Jessica,10,8,0.9,0.79,0.62,0.8040540540540541,0.8120912698412699,0.8120912698412699,0.7681159420289855,0.764166030048383,0.7681159420289855,0.7722712905452036,78.0,C
mjg41514,1289689,"Gonzalez, Matthew Justin",matthew.gonzalez@univ.edu,1,Matthew,Gonzalez,75.0,80,74,80,76,80,70,100,46,70,62,90,45,50,49,70,58,60,52,60,78,100,73,100,60,100,Gonzalez,Matthew,16,Gonzalez,Matthew,6,Gonzalez,Matthew,11,Gonzalez,Matthew,12,7,0.78,0.73,0.6,0.8202702702702702,0.8291865079365079,0.8291865079365079,0.7536231884057971,0.7526508785332314,0.7536231884057971,0.7597615596963423,76.0,C
cxg21963,2332731,"Guzman, Cynthia",cynthia.guzman@univ.edu,1,Cynthia,Guzman,63.0,80,68,80,48,80,67,100,55,70,54,90,38,50,51,70,57,60,47,60,64,100,74,100,66,100,Guzman,Cynthia,14,Guzman,Cynthia,15,Guzman,Cynthia,10,Guzman,Cynthia,7,6,0.64,0.74,0.66,0.7405405405405405,0.7515119047619048,0.7515119047619048,0.7536231884057971,0.7333206009676598,0.7536231884057971,0.731691718426501,74.0,C
jlh15029,8776566,"Harris, John Lisa",john.harris@univ.edu,1,John,Harris,74.0,80,77,80,53,80,89,100,69,70,87,90,47,50,43,70,39,60,60,60,91,100,90,100,95,100,Harris,John,12,Harris,John,14,Harris,John,6,Harris,John,12,9,0.91,0.9,0.95,0.8621621621621621,0.8596666666666668,0.8621621621621621,0.7681159420289855,0.7771937866055513,0.7771937866055513,0.8560230008465303,86.0,B
cxh80084,6427493,"Hart, Colleen",colleen.hart@univ.edu,1,Colleen,Hart,48.0,80,70,80,59,80,81,100,46,70,62,90,38,50,52,70,45,60,59,60,68,100,72,100,62,100,Hart,Colleen,17,Hart,Colleen,6,Hart,Colleen,9,Hart,Colleen,7,6,0.68,0.72,0.62,0.7567567567567568,0.7604722222222222,0.7604722222222222,0.6521739130434783,0.6343290043290043,0.6521739130434783,0.6988410628019324,70.0,C
thh29195,1735079,"Hernandez, Taylor Harold",taylor.hernandez@univ.edu,1,Taylor,Hernandez,54.0,80,52,80,53,80,67,100,56,70,77,90,33,50,57,70,52,60,46,60,92,100,83,100,98,100,Hernandez,Taylor,14,Hernandez,Taylor,12,Hernandez,Taylor,5,Hernandez,Taylor,9,11,0.92,0.83,0.98,0.7391891891891892,0.7420674603174603,0.7420674603174603,0.7391304347826086,0.7461344537815127,0.7461344537815127,0.7966673202614378,80.0,B
edh14938,2886234,"Houston, Emily Donna",emily.houston@univ.edu,1,Emily,Houston,54.0,80,60,80,56,80,71,100,56,70,71,90,46,50,55,70,52,60,40,60,100,100,78,100,87,100,Houston,Emily,17,Houston,Emily,9,Houston,Emily,5,Houston,Emily,11,8,1.0,0.78,0.87,0.7581081081081081,0.7662936507936509,0.7662936507936509,0.7246376811594203,0.7202164502164502,0.7246376811594203,0.7824087646652864,79.0,C
bch39598,7014488,"Hunt, Brett Caroline",brett.hunt@univ.edu,1,Brett,Hunt,72.0,80,72,80,57,80,77,100,62,70,78,90,43,50,42,70,43,60,58,60,85,100,72,100,89,100,Hunt,Brett,16,Hunt,Brett,11,Hunt,Brett,7,Hunt,Brett,12,4,0.85,0.72,0.89,0.8162162162162162,0.8178214285714285,0.8178214285714285,0.7246376811594203,0.7076292335115865,0.7246376811594203,0.7925198757763975,80.0,B
dcj14616,4288557,"Jones, Daniel Carolyn",daniel.jones@univ.edu,1,Daniel,Jones,61.0,80,49,80,78,80,98,100,56,70,85,90,32,50,42,70,40,60,58,60,79,100,68,100,61,100,Jones,Daniel,11,Jones,Daniel,8,Jones,Daniel,7,Jones,Daniel,10,8,0.79,0.68,0.61,0.8094594594594594,0.7947777777777778,0.8094594594594594,0.6376811594202898,0.6481996434937611,0.6481996434937611,0.7172436768319121,72.0,C
mxj54725,8373362,"Jones, Michele",michele.jones@univ.edu,1,Michele,Jones,67.0,80,61,80,65,80,95,100,63,70,89,90,42,50,58,70,43,60,55,60,100,100,82,100,63,100,Jones,Michele,12,Jones,Michele,6,Jones,Michele,6,Jones,Michele,6,7,1.0,0.82,0.63,0.8621621621621621,0.855329365079365,0.8621621621621621,0.5362318840579711,0.5341634835752482,0.5362318840579711,0.7322344300822562,74.0,C
txj12345,3456789,"Joyce, Traci",traci.joyce@univ.edu,1,Traci,Joyce,0.0,80,77,80,58,80,91,100,66,70,78,90,30,50,69,70,59,60,53,60,100,100,84,100,64,100,Joyce,Traci,14,Joyce,Traci,6,Joyce,Traci,9,Joyce,Traci,4,8,1.0,0.84,0.64,0.7851351351351351,0.7859404761904762,0.7859404761904762,0.5942028985507246,0.5853985230455819,0.5942028985507246,0.7226370600414079,73.0,C
pmk49230,5400422,"King, Paige Mary",paige.king@univ.edu,1,Paige,King,61.0,80,61,80,61,80,75,100,63,70,86,90,43,50,64,70,50,60,46,60,97,100,99,100,63,100,King,Paige,17,King,Paige,13,King,Paige,14,King,Paige,9,8,0.97,0.99,0.63,0.8243243243243243,0.826734126984127,0.826734126984127,0.8840579710144928,0.8687878787878788,0.8840579710144928,0.8379110420979987,84.0,B
mxl67812,7761687,"Lee, Michelle",michelle.lee@univ.edu,1,Michelle,Lee,56.0,80,68,80,57,80,74,100,53,70,89,90,32,50,57,70,48,60,39,60,91,100,76,100,77,100,Lee,Michelle,16,Lee,Michelle,13,Lee,Michelle,10,Lee,Michelle,10,9,0.91,0.76,0.77,0.7743243243243243,0.765281746031746,0.7743243243243243,0.8405797101449275,0.8347288006111535,0.8405797101449275,0.7989036427732079,80.0,B
msl77920,9650939,"Lopez, Mark Steven",mark.lopez@univ.edu,1,Mark,Lopez,58.0,80,51,80,55,80,69,100,65,70,81,90,32,50,59,70,45,60,40,60,94,100,87,100,78,100,Lopez,Mark,15,Lopez,Mark,15,Lopez,Mark,7,Lopez,Mark,9,4,0.94,0.87,0.78,0.75,0.7468095238095238,0.75,0.7246376811594203,0.6991978609625669,0.7246376811594203,0.7683913043478261,77.0,C
nxm87406,3795891,"Mann, Nicole",nicole.mann@univ.edu,1,Nicole,Mann,73.0,80,53,80,80,80,75,100,60,70,88,90,49,50,70,70,54,60,45,60,99,100,85,100,97,100,Mann,Nicole,12,Mann,Nicole,8,Mann,Nicole,11,Mann,Nicole,9,11,0.99,0.85,0.97,0.8743243243243243,0.8789920634920636,0.8789920634920636,0.7391304347826086,0.754985994397759,0.754985994397759,0.8580926237161531,86.0,B
sgm04582,9707878,"Marshall, Shawn Grace",shawn.marshall@univ.edu,1,Shawn,Marshall,70.0,80,73,80,50,80,96,100,49,70,55,90,46,50,52,70,38,60,39,60,69,100,68,100,62,100,Marshall,Shawn,15,Marshall,Shawn,9,Marshall,Shawn,11,Marshall,Shawn,6,8,0.69,0.68,0.62,0.7675675675675676,0.7629801587301588,0.7675675675675676,0.7101449275362319,0.6990679908326967,0.7101449275362319,0.7155705052878967,72.0,C
jxm83777,6278235,"Miller, Jorge",jorge.miller@univ.edu,1,Jorge,Miller,69.0,80,56,80,59,80,88,100,50,70,67,90,47,50,64,70,58,60,57,60,74,100,73,100,81,100,Miller,Jorge,6,Miller,Jorge,10,Miller,Jorge,14,Miller,Jorge,11,10,0.74,0.73,0.81,0.831081081081081,0.8409682539682539,0.8409682539682539,0.7391304347826086,0.7690730837789661,0.7690730837789661,0.7986092267209914,80.0,B
kam90876,1983467,"Moore, Kimberly Andrea",kimberly.moore@univ.edu,1,Kimberly,Moore,79.0,80,60,80,70,80,90,100,54,70,61,90,38,50,54,70,46,60,36,60,64,100,96,100,64,100,Moore,Kimberly,17,Moore,Kimberly,14,Moore,Kimberly,8,Moore,Kimberly,4,6,0.64,0.96,0.64,0.7945945945945946,0.7859801587301587,0.7945945945945946,0.7101449275362319,0.6767099567099566,0.7101449275362319,0.7548813160987075,76.0,C
dxn21936,8786799,"Nguyen, Donna",donna.nguyen@univ.edu,1,Donna,Nguyen,52.0,80,78,80,59,80,76,100,55,70,58,90,32,50,65,70,48,60,46,60,70,100,87,100,64,100,Nguyen,Donna,14,Nguyen,Donna,12,Nguyen,Donna,9,Nguyen,Donna,4,7,0.7,0.87,0.64,0.768918918918919,0.7687896825396825,0.768918918918919,0.6666666666666666,0.6472167048637637,0.6666666666666666,0.7255675675675676,73.0,C
tmo55387,4682582,"Ortega, Tiffany Maria",tiffany.ortega@univ.edu,1,Tiffany,Ortega,64.0,80,56,80,56,80,63,100,58,70,79,90,30,50,65,70,51,60,51,60,70,100,82,100,62,100,Ortega,Tiffany,15,Ortega,Tiffany,8,Ortega,Tiffany,14,Ortega,Tiffany,12,7,0.7,0.82,0.62,0.7743243243243243,0.7764920634920635,0.7764920634920635,0.8115942028985508,0.810409982174688,0.8115942028985508,0.7640750862663906,77.0,C
txp55047,3091027,"Parker, Timothy",timothy.parker@univ.edu,1,Timothy,Parker,50.0,80,76,80,65,80,72,100,68,70,65,90,42,50,50,70,43,60,59,60,73,100,93,100,66,100,Parker,Timothy,13,Parker,Timothy,14,Parker,Timothy,14,Parker,Timothy,10,9,0.73,0.93,0.66,0.7972972972972973,0.8055436507936508,0.8055436507936508,0.8695652173913043,0.8699108734402852,0.8699108734402852,0.8116907223495459,82.0,B
mjp68159,2003671,"Patrick, Mark Jennifer",mark.patrick@univ.edu,1,Mark,Patrick,70.0,80,65,80,73,80,84,100,68,70,74,90,34,50,43,70,36,60,55,60,92,100,65,100,80,100,Patrick,Mark,10,Patrick,Mark,11,Patrick,Mark,8,Patrick,Mark,4,10,0.92,0.65,0.8,0.8135135135135135,0.8044603174603173,0.8135135135135135,0.6231884057971014,0.6270842882607588,0.6270842882607588,0.7445306918836331,75.0,C
dxp49123,7256989,"Payne, Douglas",douglas.payne@univ.edu,1,Douglas,Payne,48.0,80,55,80,49,80,62,100,46,70,90,90,35,50,62,70,51,60,51,60,74,100,71,100,96,100,Payne,Douglas,7,Payne,Douglas,7,Payne,Douglas,12,Payne,Douglas,5,8,0.74,0.71,0.96,0.7418918918918919,0.7462857142857142,0.7462857142857142,0.5652173913043478,0.575902724726254,0.575902724726254,0.7232851031321619,73.0,C
jmp63760,1994210,"Pena, Jonathan Michael",jonathan.pena@univ.edu,1,Jonathan,Pena,53.0,80,74,80,55,80,70,100,51,70,74,90,33,50,63,70,47,60,42,60,74,100,79,100,84,100,Pena,Jonathan,13,Pena,Jonathan,8,Pena,Jonathan,10,Pena,Jonathan,5,9,0.74,0.79,0.84,0.7594594594594595,0.7569126984126984,0.7594594594594595,0.6521739130434783,0.6494346829640947,0.6521739130434783,0.7414359576968272,75.0,C
ksp17362,2570154,"Petersen, Kristin Sarah",kristin.petersen@univ.edu,1,Kristin,Petersen,49.0,80,77,80,75,80,90,100,54,70,90,90,45,50,47,70,46,60,40,60,97,100,68,100,97,100,Petersen,Kristin,7,Petersen,Kristin,8,Petersen,Kristin,5,Petersen,Kristin,5,8,0.97,0.68,0.97,0.8283783783783784,0.8188690476190477,0.8283783783783784,0.4782608695652174,0.4892360580595875,0.4892360580595875,0.7401221687692277,75.0,C
bdp78944,4412160,"Powers, Brooke David",brooke.powers@univ.edu,1,Brooke,Powers,80.0,80,60,80,53,80,66,100,46,70,85,90,45,50,54,70,44,60,57,60,77,100,87,100,90,100,Powers,Brooke,17,Powers,Brooke,10,Powers,Brooke,10,Powers,Brooke,8,6,0.77,0.87,0.9,0.7972972972972973,0.8028849206349206,0.8028849206349206,0.7391304347826086,0.7186147186147186,0.7391304347826086,0.8033930986887509,81.0,B
rkr43763,1283046,"Rice, Rhonda Kyle",rhonda.rice@univ.edu,1,Rhonda,Rice,77.0,80,48,80,53,80,68,100,67,70,67,90,50,50,43,70,43,60,52,60,61,100,98,100,96,100,Rice,Rhonda,14,Rice,Rhonda,9,Rice,Rhonda,6,Rice,Rhonda,9,8,0.61,0.98,0.96,0.7675675675675676,0.780420634920635,0.780420634920635,0.6666666666666666,0.6658747135217722,0.6666666666666666,0.7846682539682539,79.0,C
bms82804,7369942,"Sanders, Beth Melissa",beth.sanders@univ.edu,1,Beth,Sanders,59.0,80,67,80,53,80,85,100,68,70,77,90,41,50,52,70,50,60,42,60,73,100,71,100,67,100,Sanders,Beth,9,Sanders,Beth,12,Sanders,Beth,10,Sanders,Beth,9,4,0.73,0.71,0.67,0.8027027027027027,0.8010674603174603,0.8027027027027027,0.6376811594202898,0.631466768525592,0.6376811594202898,0.7203854289071681,73.0,C
rxs30280,2546149,"Saunders, Richard",richard.saunders@univ.edu,1,Richard,Saunders,53.0,80,56,80,48,80,87,100,46,70,55,90,32,50,57,70,56,60,36,60,65,100,93,100,64,100,Saunders,Richard,15,Saunders,Richard,8,Saunders,Richard,12,Saunders,Richard,12,10,0.65,0.93,0.64,0.7108108108108108,0.7088373015873015,0.7108108108108108,0.8260869565217391,0.836384008148714,0.836384008148714,0.7567395267689385,76.0,C
bxs54690,7046482,"Schwartz, Billy",billy.schwartz@univ.edu,1,Billy,Schwartz,56.0,80,52,80,56,80,89,100,46,70,66,90,33,50,51,70,48,60,52,60,89,100,62,100,93,100,Schwartz,Billy,11,Schwartz,Billy,12,Schwartz,Billy,10,Schwartz,Billy,9,11,0.89,0.62,0.93,0.7418918918918919,0.7385714285714284,0.7418918918918919,0.7681159420289855,0.7822689075630253,0.7822689075630253,0.7774374290256644,78.0,C
kxs29884,9227999,"Smith, Kerry",kerry.smith@univ.edu,1,Kerry,Smith,53.0,80,73,80,53,80,71,100,63,70,69,90,50,50,44,70,55,60,49,60,62,100,95,100,84,100,Smith,Kerry,16,Smith,Kerry,13,Smith,Kerry,5,Smith,Kerry,5,4,0.62,0.95,0.84,0.7837837837837838,0.7976071428571428,0.7976071428571428,0.6231884057971014,0.5890578049401579,0.6231884057971014,0.7579993788819877,76.0,C
mxs33416,7782005,"Smith, Matthew",matthew.smith@univ.edu,1,Matthew,Smith,75.0,80,53,80,57,80,69,100,53,70,78,90,50,50,51,70,47,60,42,60,66,100,63,100,93,100,Smith,Matthew,7,Smith,Matthew,14,Smith,Matthew,7,Smith,Matthew,8,8,0.66,0.63,0.93,0.777027027027027,0.7838214285714286,0.7838214285714286,0.6376811594202898,0.647807486631016,0.647807486631016,0.7433708174178761,75.0,C
txt65366,5665427,"Terry, Thomas",thomas.terry@univ.edu,1,Thomas,Terry,72.0,80,60,80,51,80,96,100,51,70,87,90,31,50,43,70,41,60,50,60,83,100,74,100,99,100,Terry,Thomas,13,Terry,Thomas,14,Terry,Thomas,8,Terry,Thomas,9,8,0.83,0.74,0.99,0.7864864864864864,0.7693690476190476,0.7864864864864864,0.7536231884057971,0.7493481028775146,0.7536231884057971,0.8046815511163338,81.0,B
sxt33634,8190682,"Thomas, Sandra",sandra.thomas@univ.edu,1,Sandra,Thomas,65.0,80,66,80,67,80,68,100,69,70,65,90,39,50,64,70,41,60,38,60,88,100,62,100,96,100,Thomas,Sandra,14,Thomas,Sandra,10,Thomas,Sandra,8,Thomas,Sandra,4,9,0.88,0.62,0.96,0.7864864864864864,0.7873888888888889,0.7873888888888889,0.6521739130434783,0.6426279602750191,0.6521739130434783,0.7606077294685991,77.0,C
jxu45537,4463768,"Underwood, James",james.underwood@univ.edu,1,James,Underwood,65.0,80,74,80,73,80,81,100,66,70,79,90,40,50,45,70,51,60,39,60,77,100,76,100,84,100,Underwood,James,8,Underwood,James,13,Underwood,James,9,Underwood,James,9,5,0.77,0.76,0.84,0.8283783783783784,0.8223492063492064,0.8283783783783784,0.6376811594202898,0.6369314998726764,0.6376811594202898,0.7631556991774383,77.0,C
sxv18182,4912187,"Vasquez, Sara",sara.vasquez@univ.edu,1,Sara,Vasquez,63.0,80,65,80,67,80,98,100,70,70,65,90,32,50,55,70,40,60,38,60,64,100,73,100,75,100,Vasquez,Sara,8,Vasquez,Sara,7,Vasquez,Sara,6,Vasquez,Sara,5,5,0.64,0.73,0.75,0.8013513513513514,0.7865436507936507,0.8013513513513514,0.4492753623188406,0.4474076903488668,0.4492753623188406,0.6728231492361927,68.0,D
jxw53347,5566719,"Walls, Joyce",joyce.walls@univ.edu,1,Joyce,Walls,59.0,80,77,80,61,80,84,100,44,70,64,90,40,50,45,70,40,60,42,60,69,100,73,100,91,100,Walls,Joyce,9,Walls,Joyce,6,Walls,Joyce,7,Walls,Joyce,12,10,0.69,0.73,0.91,0.7513513513513513,0.7451706349206351,0.7513513513513513,0.6376811594202898,0.6677005347593583,0.6677005347593583,0.744850700968348,75.0,C
